Date_,ls_ret
1997-03-21,-0.009766697284844892
1997-03-24,0.008814839764916852
1997-03-25,0.002304402192091104
1997-03-26,-0.03501683884243656
1997-03-27,-0.004859804803491481
1997-03-28,
1997-03-31,0.0043905184204443
1997-04-01,-0.00021826705403242707
1997-04-02,0.003143820006584678
1997-04-03,-0.0003166553772753951
1997-04-04,0.031552903688882555
1997-04-07,-0.006034985659831256
1997-04-08,0.004185953226925363
1997-04-09,-0.013700838057861344
1997-04-10,-0.003732509187252947
1997-04-11,-0.013873319982820174
1997-04-14,-0.003728138493463958
1997-04-15,-0.014751383809777786
1997-04-16,-0.0031012988479277776
1997-04-17,-0.013470842794294932
1997-04-18,-0.02276480264938561
1997-04-21,-0.011526458399694956
1997-04-22,0.0028873056654216953
1997-04-23,-0.003503121336074233
1997-04-24,-0.004459287795316467
1997-04-25,0.002956220888674933
1997-04-28,-0.013307336853160068
1997-04-29,0.01050570502076846
1997-04-30,0.008803800434925109
1997-05-01,-8.177663908003486e-05
1997-05-02,-0.00030872433347592837
1997-05-05,-0.007966519359035399
1997-05-06,-0.003027336713780073
1997-05-07,-0.009398882430892423
1997-05-08,-0.007613252147618952
1997-05-09,0.002460073522728611
1997-05-12,-0.009473723895939997
1997-05-13,0.003091698468862172
1997-05-14,0.0011892013057427746
1997-05-15,-0.009630191232452267
1997-05-16,0.004846759673870591
1997-05-19,-0.00031131091537532017
1997-05-20,0.00325681934815929
1997-05-21,-0.008803814595786994
1997-05-22,0.00612101055020279
1997-05-23,-0.012268868269706652
1997-05-26,
1997-05-27,-0.002341239435641214
1997-05-28,-0.013319419233589392
1997-05-29,-0.002263396781538982
1997-05-30,0.0006439880766581485
1997-06-02,-0.0016107748881253859
1997-06-03,0.001376408071431765
1997-06-04,0.002072342723791807
1997-06-05,0.0042726996705248115
1997-06-06,-0.005315832911651756
1997-06-09,-0.004466075342275172
1997-06-10,0.009496610584824075
1997-06-11,0.0021164547490279285
1997-06-12,0.004702465102729242
1997-06-13,-0.0026374387151782345
1997-06-16,-0.001810485858851236
1997-06-17,-0.006340355676066481
1997-06-18,-0.002082153441246336
1997-06-19,-0.0026906823443438
1997-06-20,0.011305172603160251
1997-06-23,0.003601532359512239
1997-06-24,-0.010809143276260114
1997-06-25,0.005498147007494157
1997-06-26,0.0033584237239305727
1997-06-27,-0.006442774900033483
1997-06-30,0.015533938064007142
1997-07-01,-0.015192237666849275
1997-07-02,0.004877484142672022
1997-07-03,-0.00023101283129874404
1997-07-04,
1997-07-07,0.0018810000102866464
1997-07-08,0.00578973383519769
1997-07-09,0.0020284423595975376
1997-07-10,0.002210356098007301
1997-07-11,-0.0017226701687811708
1997-07-14,-0.0023463593697353484
1997-07-15,-0.003496756702663502
1997-07-16,-0.00023077318559441007
1997-07-17,-0.0028376057332795356
1997-07-18,0.0003909030796861961
1997-07-21,-0.0030426752961830172
1997-07-22,-0.0021657483833845497
1997-07-23,0.001023662051688659
1997-07-24,-0.0019372734477211904
1997-07-25,-0.0017409460623993276
1997-07-28,0.0026762033276310363
1997-07-29,-0.00015272525474401618
1997-07-30,-0.0005049380066865845
1997-07-31,-0.0007161128785684455
1997-08-01,-0.00042633379882872256
1997-08-04,-0.0016310998082163628
1997-08-05,0.0006448382124891177
1997-08-06,0.0007539901920730789
1997-08-07,-0.0039692291158046475
1997-08-08,0.0003091018050793134
1997-08-11,-0.0023187157533266817
1997-08-12,0.0005858621508010605
1997-08-13,-0.0010398012174710734
1997-08-14,-0.0006764423744988229
1997-08-15,0.0007240981242387081
1997-08-18,-0.0018316209519075519
1997-08-19,-0.00034681579944565724
1997-08-20,0.00027962415875839875
1997-08-21,0.0010230284519737306
1997-08-22,-0.0018169424256364094
1997-08-25,-0.0006415246432379181
1997-08-26,-0.001093797665630345
1997-08-27,-0.00039087049880409067
1997-08-28,0.0018212376042685428
1997-08-29,2.178871596380647e-05
1997-09-01,
1997-09-02,-0.0018292949908687273
1997-09-03,0.0006766867796124935
1997-09-04,-0.000350874136341924
1997-09-05,-0.0004837743842146065
1997-09-08,0.0008821706472516975
1997-09-09,0.0028978200860239824
1997-09-10,0.003668061757068377
1997-09-11,0.0020321326812796124
1997-09-12,0.0006656033525160471
1997-09-15,0.002936096797957432
1997-09-16,0.0008030127545153593
1997-09-17,0.001941457814232878
1997-09-18,-0.002174975205868053
1997-09-19,0.0008972173794248383
1997-09-22,0.0010418423285622536
1997-09-23,-0.00043339047988366495
1997-09-24,-0.0016991543024041896
1997-09-25,-0.00010133517010330649
1997-09-26,0.00041593492824484955
1997-09-29,0.00012637888206155562
1997-09-30,-0.000477234247979573
1997-10-01,0.0010600698585715386
1997-10-02,0.0008722985877287688
1997-10-03,0.001480515792791448
1997-10-06,0.0018153726937855722
1997-10-07,0.0018124267395679208
1997-10-08,-0.0026283010666061928
1997-10-09,-0.0018960478858192093
1997-10-10,0.0010436338400400189
1997-10-13,0.0011567831672143424
1997-10-14,-0.001468485505400052
1997-10-15,-0.000444402368683426
1997-10-16,-0.0003149298560512713
1997-10-17,-0.001663155271600566
1997-10-20,-0.001218954337295334
1997-10-21,0.003288991537237451
1997-10-22,0.0005183249184308052
1997-10-23,0.0014708865999368099
1997-10-24,0.0016145190805004835
1997-10-27,0.005441091320544269
1997-10-28,-0.005565851431342563
1997-10-29,0.003058439953139987
1997-10-30,0.002460746545843435
1997-10-31,-0.000862302428216447
1997-11-03,0.0013308468514639257
1997-11-04,0.004091608546059593
1997-11-05,0.0012707703829180964
1997-11-06,-0.0006254975531191227
1997-11-07,0.0012088499793936399
1997-11-10,-0.001570654864499196
1997-11-11,-0.002807576509211618
1997-11-12,0.0005993807857115331
1997-11-13,-0.002116479116538039
1997-11-14,0.0002173763078958956
1997-11-17,0.0008323857151465448
1997-11-18,-0.001151714105311976
1997-11-19,-0.0010201227712377642
1997-11-20,0.0016751344648133675
1997-11-21,0.0006239083341033011
1997-11-24,-0.0023536388122743753
1997-11-25,0.0001696048311387279
1997-11-26,-3.6621557876284645e-05
1997-11-27,-0.00954488264981237
1997-11-28,0.0013702234893145252
1997-12-01,-0.0033907920646361078
1997-12-02,0.002934076885104944
1997-12-03,0.0040765764201366825
1997-12-04,0.000719648281523654
1997-12-05,5.3856474303198355e-05
1997-12-08,0.0027289789090192374
1997-12-09,-0.0008112115113826202
1997-12-10,0.0017906224921146324
1997-12-11,-0.002969940972088429
1997-12-12,-0.00023815128830181325
1997-12-15,-0.0012209963893281047
1997-12-16,-0.00020411454800847617
1997-12-17,0.0019022657169987596
1997-12-18,0.0016845816873657586
1997-12-19,0.0002009215838267257
1997-12-22,0.0013981733729541636
1997-12-23,-0.0017866465010229593
1997-12-24,0.0011660671520717476
1997-12-25,
1997-12-26,-0.0005543077698660375
1997-12-29,0.0017308273435651933
1997-12-30,0.0027475673705280013
1997-12-31,0.002024696760129673
1998-01-02,-0.007259000464848392
1998-01-05,-0.0028229040189455294
1998-01-06,-0.0025721778808088765
1998-01-07,0.0005748997759155196
1998-01-08,-0.0024036016671214362
1998-01-09,-0.0008789482842656342
1998-01-12,-0.0001700753374064932
1998-01-13,0.005190650688306385
1998-01-14,0.0016141418208718802
1998-01-15,0.0017489098622432131
1998-01-16,0.0012606494105263542
1998-01-19,0.019104945705975457
1998-01-20,0.0049571972790017895
1998-01-21,-0.000216604632278625
1998-01-22,-0.004464592382236269
1998-01-23,-0.0025086080689170087
1998-01-26,0.004114638391702176
1998-01-27,0.0029065241972529745
1998-01-28,0.004020814733911752
1998-01-29,0.0022757366820815015
1998-01-30,-0.0022260261917652407
1998-02-02,-0.0007377920705629421
1998-02-03,0.0018021443084821206
1998-02-04,-0.0005899349109400273
1998-02-05,0.0003775225893959987
1998-02-06,-0.0012114715934307232
1998-02-09,-0.001832707147772652
1998-02-10,0.0023411891490986254
1998-02-11,-0.0002280327301468778
1998-02-12,-3.360387340358731e-05
1998-02-13,0.0016608807991483866
1998-02-16,0.009231097348643602
1998-02-17,-0.0026776326769355455
1998-02-18,0.0034180973574459454
1998-02-19,0.00020842057132087954
1998-02-20,-0.0006914585879671021
1998-02-23,0.00039409301790822035
1998-02-24,0.0012662379812528163
1998-02-25,0.0024964502513290664
1998-02-26,0.0010395621269797786
1998-02-27,-0.00026793913332309575
1998-03-02,0.0020693517708574543
1998-03-03,0.0026700285440983775
1998-03-04,-0.0021776202450797563
1998-03-05,0.0016821941225723326
1998-03-06,0.0002238056251751881
1998-03-09,-0.003019217982756265
1998-03-10,0.00041459191571302615
1998-03-11,-0.000934568890400676
1998-03-12,0.0005730521462409364
1998-03-13,-0.0010365451126940577
1998-03-16,-0.002178676853273529
1998-03-17,-0.00023698470768313367
1998-03-18,0.002223903998279678
1998-03-19,0.001626518385599629
1998-03-20,0.0019214636779057053
1998-03-23,0.0007283996310855298
1998-03-24,-0.0008481623774023765
1998-03-25,0.0008267149924319774
1998-03-26,0.0029332327610264767
1998-03-27,0.0004059636212688762
1998-03-30,7.588461205020568e-05
1998-03-31,0.0003094751948663458
1998-04-01,0.0008783194316699003
1998-04-02,-0.001059442474220276
1998-04-03,-0.00034523383406897114
1998-04-06,-0.0012956642413864854
1998-04-07,7.191270346553371e-05
1998-04-08,-3.7228769152385856e-05
1998-04-09,0.000493176316724436
1998-04-10,
1998-04-13,-0.0004668816096664739
1998-04-14,-0.0014184680349006796
1998-04-15,0.0017368435467220707
1998-04-16,-0.0015072993704975178
1998-04-17,-0.0040459591555417965
1998-04-20,0.0020860457958419938
1998-04-21,0.0025091571224308416
1998-04-22,-0.0030481189583655244
1998-04-23,0.0006190012322866132
1998-04-24,0.0019518603280334842
1998-04-27,0.00036833720049550843
1998-04-28,-0.000911002021473776
1998-04-29,0.0021457550454196113
1998-04-30,-0.0008151305745764148
1998-05-01,-0.0014890021778624662
1998-05-04,0.0003636030110477556
1998-05-05,-0.00016724868389032048
1998-05-06,-0.0023014371530005002
1998-05-07,-0.0024972060803303006
1998-05-08,-0.001640577283784336
1998-05-11,0.001084731488317005
1998-05-12,0.0006202367621219675
1998-05-13,0.003259846772872511
1998-05-14,-5.779024527317618e-05
1998-05-15,-5.206722701664683e-05
1998-05-18,0.0026907302305890285
1998-05-19,0.0017760165034630447
1998-05-20,6.0987611057093363e-05
1998-05-21,-0.0012651761694168105
1998-05-22,0.0006544791163588618
1998-05-25,-0.0036568866965711122
1998-05-26,0.0009090253283428245
1998-05-27,0.0015841753542478402
1998-05-28,-0.0012554895754537001
1998-05-29,0.0012002747551474089
1998-06-01,-0.0020408108897153614
1998-06-02,0.001331333549468922
1998-06-03,-6.437375909805513e-05
1998-06-04,0.0007330912805604055
1998-06-05,3.740541992986519e-06
1998-06-08,0.0018785081406009231
1998-06-09,-2.9408033787517824e-05
1998-06-10,0.0023230375897440435
1998-06-11,-0.0012015729703900647
1998-06-12,-0.0022189486919724556
1998-06-15,0.0011275263167223007
1998-06-16,0.00047729934681201214
1998-06-17,0.0014346768201801289
1998-06-18,0.002460017047015542
1998-06-19,0.002682896133798829
1998-06-22,-0.0011169985870775514
1998-06-23,-0.0003430965086926651
1998-06-24,0.00014829530662170082
1998-06-25,-7.921132416923788e-05
1998-06-26,-0.000891869487648735
1998-06-29,0.0004615088720944444
1998-06-30,-0.00016154684158431197
1998-07-01,-6.017762592804341e-05
1998-07-02,-0.0007053042212169849
1998-07-03,-0.004868870691315871
1998-07-06,0.0008481486374199977
1998-07-07,0.0013641233475631459
1998-07-08,0.002281761436235805
1998-07-09,0.002759915291466111
1998-07-10,0.003045170600541739
1998-07-13,0.002465700294133153
1998-07-14,-0.0001066544219209908
1998-07-15,-0.00343241462342021
1998-07-16,0.003266049907191399
1998-07-17,0.001298692879607074
1998-07-20,0.00996415287587614
1998-07-21,0.003446632853930393
1998-07-22,0.001083771073901754
1998-07-23,-0.0022853136341666465
1998-07-24,-0.0038446416347760757
1998-07-27,-0.0017230685174868998
1998-07-28,0.004789585771524726
1998-07-29,-0.000212989014546825
1998-07-30,-0.0011861217357366576
1998-07-31,0.0026268482850472746
1998-08-03,-0.0027580952957285566
1998-08-04,0.00019490418873039286
1998-08-05,0.002055561719214266
1998-08-06,-0.0006238535123869428
1998-08-07,0.0007907563040144835
1998-08-10,0.00316949943141004
1998-08-11,0.0014547549993126586
1998-08-12,-0.001782889333509277
1998-08-13,0.0023029509106919977
1998-08-14,-0.0020299136829013435
1998-08-17,0.0009710519631588923
1998-08-18,-0.0005198594046688273
1998-08-19,0.0011512285998066458
1998-08-20,0.0026403374028147165
1998-08-21,0.0052341355240193505
1998-08-24,0.0007502540503736189
1998-08-25,-0.00010436910182518082
1998-08-26,0.0018132200435139884
1998-08-27,0.003214158189814829
1998-08-28,-0.005018547332968777
1998-08-31,0.0011709385229269928
1998-09-01,0.004549634856699894
1998-09-02,0.002262374410212471
1998-09-03,0.0017763210106459567
1998-09-04,-0.001592884319650604
1998-09-07,
1998-09-08,-0.0023298436829506334
1998-09-09,0.0008356322622384549
1998-09-10,0.0013480172911823271
1998-09-11,-0.0031319061733306474
1998-09-14,0.0026493155738724276
1998-09-15,0.0008525389482616442
1998-09-16,-0.000366583447522347
1998-09-17,-0.004115029692562873
1998-09-18,0.00028466819896513817
1998-09-21,-0.0022384408231909867
1998-09-22,-0.0016352747878121388
1998-09-23,-0.00034599396617817203
1998-09-24,-0.0016175102215260054
1998-09-25,-0.0003192356835298479
1998-09-28,-0.002142737465663831
1998-09-29,-0.003095697169755933
1998-09-30,0.0026367574788771306
1998-10-01,-0.005509015005121239
1998-10-02,-0.004540231386250953
1998-10-05,-0.00017913436143814667
1998-10-06,-0.002619384276533134
1998-10-07,-0.005650474866800922
1998-10-08,0.004016200622236602
1998-10-09,0.003170472600611661
1998-10-12,0.0023431432274609886
1998-10-13,0.0011398323024559521
1998-10-14,-0.00342850692934838
1998-10-15,0.0026503511185992836
1998-10-16,-0.0063367396317288195
1998-10-19,0.002062591125791839
1998-10-20,-0.00020178465659671574
1998-10-21,0.0017087801330923876
1998-10-22,-0.0078116437659567625
1998-10-23,0.0028948329131247104
1998-10-26,0.003290532377035274
1998-10-27,0.003660672400165981
1998-10-28,0.001554178828060714
1998-10-29,-0.005085892933910296
1998-10-30,-0.0042208054707780635
1998-11-02,0.0008788509891027873
1998-11-03,-0.003972815317939541
1998-11-04,-0.000819546907222515
1998-11-05,-0.0008082175823726697
1998-11-06,0.004185203345085712
1998-11-09,0.003253539836443987
1998-11-10,0.0007876142503349708
1998-11-11,-0.0017054717843023206
1998-11-12,-0.0008342564347300007
1998-11-13,-0.0030289579810919617
1998-11-16,0.0011011625755344828
1998-11-17,-0.0002331212330769405
1998-11-18,0.006222719905968646
1998-11-19,0.001694379626689709
1998-11-20,-0.003562710337895071
1998-11-23,0.0016964345289636705
1998-11-24,0.0010565522767157557
1998-11-25,-0.00034652626832560327
1998-11-26,0.006738355317887468
1998-11-27,-0.0010756068697319364
1998-11-30,0.0028936088385451255
1998-12-01,0.0052383875672739715
1998-12-02,0.0002771940778968105
1998-12-03,0.002497478683782675
1998-12-04,0.0025003464292803774
1998-12-07,0.0028547181706351393
1998-12-08,0.001576196422222657
1998-12-09,0.002928607398249215
1998-12-10,0.003511757417255217
1998-12-11,0.0022116525730622913
1998-12-14,0.0023230017093253414
1998-12-15,-0.00034668267597125126
1998-12-16,-0.0013535952932448067
1998-12-17,0.0002039267186428929
1998-12-18,0.006789940754861531
1998-12-21,0.002700727438611905
1998-12-22,0.004677297992736884
1998-12-23,-0.0012156697863142764
1998-12-24,-0.002460849288025146
1998-12-25,
1998-12-28,0.000765047399041797
1998-12-29,0.0029422308731160782
1998-12-30,-0.0048560033002369
1998-12-31,-0.002841760756060607
1999-01-04,-0.006676335240250489
1999-01-05,-0.007222901933655932
1999-01-06,-0.010783650342856643
1999-01-07,-0.009344587962545762
1999-01-08,-0.004402627524946056
1999-01-11,-0.0027437601294376147
1999-01-12,0.003426438201541449
1999-01-13,-0.00020551042029519345
1999-01-14,-0.0030611592748952415
1999-01-15,-0.003672553782349143
1999-01-18,0.003571549578291829
1999-01-19,-0.0005858647545465285
1999-01-20,0.0014699198369621657
1999-01-21,0.004656426030336624
1999-01-22,0.001255752056249011
1999-01-25,0.0034955580497768035
1999-01-26,0.0006861841521739275
1999-01-27,-0.0006112963240423033
1999-01-28,0.001924352614266884
1999-01-29,0.002481558923710476
1999-02-01,-0.0006063963980959825
1999-02-02,-0.001784735820086048
1999-02-03,-0.004846702596426139
1999-02-04,-0.002867070486356589
1999-02-05,-0.005342223157343709
1999-02-08,-0.004596079985814255
1999-02-09,0.002308454777363616
1999-02-10,0.0009314013691552366
1999-02-11,0.004783091195646494
1999-02-12,-0.0027585215645547626
1999-02-15,-0.0018790916543057756
1999-02-16,0.0011859019608976727
1999-02-17,-0.0015688361928366886
1999-02-18,0.0007310335162952168
1999-02-19,0.0005440889192147457
1999-02-22,0.0006467307293329183
1999-02-23,0.0037434886615336244
1999-02-24,-0.00244507576029983
1999-02-25,-0.0007780826848883217
1999-02-26,0.0024614959255891736
1999-03-01,0.0005873724740763242
1999-03-02,0.0026364969667706426
1999-03-03,-0.004618821356328121
1999-03-04,-0.00134295714529822
1999-03-05,-0.002419231300653534
1999-03-08,-0.0048402145151106215
1999-03-09,0.00348438571406229
1999-03-10,-0.007172313237921804
1999-03-11,-0.003605942947649747
1999-03-12,-0.00787166892064735
1999-03-15,-0.0007256188033076119
1999-03-16,0.0013496588844977273
1999-03-17,-0.007373569832324802
1999-03-18,-0.0029742770313220448
1999-03-19,-0.003271344517442392
1999-03-22,-0.004061733667912749
1999-03-23,-0.003261420085686807
1999-03-24,-0.0021029897343375786
1999-03-25,0.005635969602036554
1999-03-26,-0.0033286650026468348
1999-03-29,-0.002302488305743047
1999-03-30,0.005060022006723593
1999-03-31,0.005272316988398696
1999-04-01,-0.0023953735248192077
1999-04-02,
1999-04-05,0.0045761195093139495
1999-04-06,0.0012307352409330308
1999-04-07,0.0031852662239961584
1999-04-08,-0.0015580588476750258
1999-04-09,-0.0010958648085882474
1999-04-12,-0.001551354439562785
1999-04-13,0.002482539596945876
1999-04-14,-0.00485408617744964
1999-04-15,-0.0047980405901927635
1999-04-16,-0.011836758035083926
1999-04-19,-0.006122716071001697
1999-04-20,0.005587578707965364
1999-04-21,-0.0009011761472861772
1999-04-22,-0.0022118942960755532
1999-04-23,0.003238251788550278
1999-04-26,0.0018164963245662024
1999-04-27,-0.004913769460825805
1999-04-28,-0.007051982225454107
1999-04-29,-0.0009182263717612499
1999-04-30,0.0024414924654934797
1999-05-03,-0.002371890734683435
1999-05-04,0.0017297300003753576
1999-05-05,-0.002104860856967316
1999-05-06,-0.0009019040129517434
1999-05-07,-0.0027835868765296147
1999-05-10,-0.0003479638953660641
1999-05-11,0.0003418098382603568
1999-05-12,0.0040280293477542445
1999-05-13,-0.0012439271068724503
1999-05-14,-0.0003930689934872906
1999-05-17,-0.0013738172012120785
1999-05-18,0.0029452957010838972
1999-05-19,-0.0022054952993893345
1999-05-20,-0.00014696416498267344
1999-05-21,-0.004908924000598982
1999-05-24,0.004887043218119657
1999-05-25,0.004771132775005366
1999-05-26,0.0006542801020134933
1999-05-27,0.0024370380604064935
1999-05-28,-0.002993573428561283
1999-05-31,-0.007345059738866973
1999-06-01,-0.001486750968719724
1999-06-02,0.0023777599967110155
1999-06-03,0.00010952274496309547
1999-06-04,0.001059563163954596
1999-06-07,-0.003922168086590749
1999-06-08,-0.001540818224921897
1999-06-09,0.0016965449696767314
1999-06-10,-0.00019374549488120966
1999-06-11,-0.0011766266454043088
1999-06-14,-0.002976580737116523
1999-06-15,0.004129700464490392
1999-06-16,0.0005713086535433858
1999-06-17,0.002458192258454436
1999-06-18,-0.002745460863131038
1999-06-21,0.003820269217142986
1999-06-22,0.0001358412608879371
1999-06-23,0.00026118461874751056
1999-06-24,-2.6474593152044443e-05
1999-06-25,0.0013383955273549308
1999-06-28,0.003302734487813032
1999-06-29,0.0007662854246601175
1999-06-30,-0.0011086742771491158
1999-07-01,0.0018187706409302372
1999-07-02,-0.004244475271916262
1999-07-05,0.000558575445550972
1999-07-06,-0.0006563731318074196
1999-07-07,0.001218092829340141
1999-07-08,-0.002230873410602462
1999-07-09,-0.006342585204657926
1999-07-12,-0.0006459428428726282
1999-07-13,-0.0020602130353458434
1999-07-14,0.0027221828105776177
1999-07-15,-0.0012699702369022305
1999-07-16,-0.0001256187426618999
1999-07-19,0.0013643373311915989
1999-07-20,0.0021040051589566173
1999-07-21,0.0026583955564755545
1999-07-22,-0.0008526170293418202
1999-07-23,0.0013221364880322015
1999-07-26,0.0029824869108130603
1999-07-27,0.0015075559457105236
1999-07-28,-0.0006803554301917403
1999-07-29,-0.0025983348067744614
1999-07-30,-0.001485859682378969
1999-08-02,-0.0022992086535069726
1999-08-03,0.0020501665942684972
1999-08-04,-0.003252074629640879
1999-08-05,-0.0012338320679234776
1999-08-06,-0.0030782640754754985
1999-08-09,-0.004755441840342765
1999-08-10,-0.0003607322595150168
1999-08-11,0.004512501308601105
1999-08-12,0.0025410011499292936
1999-08-13,0.0038923472328093412
1999-08-16,0.001416898218284584
1999-08-17,-0.0008526755519108968
1999-08-18,-0.000612621379803686
1999-08-19,-0.002039094686459813
1999-08-20,-5.826086368496734e-05
1999-08-23,-0.0006277808629000726
1999-08-24,0.0025068850865823705
1999-08-25,0.003842233864612569
1999-08-26,0.001300757394158211
1999-08-27,-0.004249169256571499
1999-08-30,-0.0009975138224576176
1999-08-31,-0.0020623864221944368
1999-09-01,0.0013401055501879667
1999-09-02,0.0009642037253889531
1999-09-03,0.002044225457855687
1999-09-06,
