date,ls_ret
2013-02-08,-0.004597015538582894
2013-02-11,-0.0015949475651943934
2013-02-12,-0.0025775806844752502
2013-02-13,0.004371281845302922
2013-02-14,0.0001863633426586686
2013-02-15,0.0029227064732147423
2013-02-19,-0.0007575143161737871
2013-02-20,-0.0023735715653320608
2013-02-21,3.054551429427718e-05
2013-02-22,0.0003770511152600964
2013-02-25,-0.00020774123351526472
2013-02-26,-0.0006495357319901867
2013-02-27,-0.002281658554029243
2013-02-28,0.0012731478851372192
2013-03-01,0.00044784946338407574
2013-03-04,0.002057866478615355
2013-03-05,-0.0019007613143169318
2013-03-06,-0.0007764652751447188
2013-03-07,-0.0001956507936769383
2013-03-08,0.00013212867290085593
2013-03-11,-0.00021300594573258285
2013-03-12,-0.0019765065825344593
2013-03-13,0.0004801418652330729
2013-03-14,1.5983682418284478e-05
2013-03-15,-0.00043420167486391497
2013-03-18,0.0008756367468212845
2013-03-19,0.0011295248459861616
2013-03-20,0.001904580875813131
2013-03-21,-0.00028695185210722996
2013-03-22,0.00014657832155988608
2013-03-25,-0.00011987467280707021
2013-03-26,0.00016850936428347563
2013-03-27,0.002435662770187109
2013-03-28,0.0006265633746249087
2013-04-01,-0.001050928536338252
2013-04-02,0.001989325094048875
2013-04-03,-0.001699726635194311
2013-04-04,-0.0006139984334594231
2013-04-05,-0.0023358407182064184
2013-04-08,0.0015015459158418526
2013-04-09,-0.00188883394586209
2013-04-10,0.0012932781950203895
2013-04-11,0.0022444821667636653
2013-04-12,0.0004566450079556139
2013-04-15,0.001153690515305137
2013-04-16,0.0012364800221266795
2013-04-17,-0.0012549497147735418
2013-04-18,-0.0023638028961643883
2013-04-19,-0.00034689635978772524
2013-04-22,0.0004439421747955699
2013-04-23,0.0005184559221695429
2013-04-24,-0.005038566653489845
2013-04-25,-0.0025271198114903528
2013-04-26,-0.0010317212242373474
2013-04-29,0.0015214817080538106
2013-04-30,0.0010642174300217449
2013-05-01,-0.0026046137712831966
2013-05-02,0.0003918104383693509
2013-05-03,-0.0015033281202130801
2013-05-06,-0.0007135360400588346
2013-05-07,0.002965819954298666
2013-05-08,-0.000323998153123559
2013-05-09,0.0005885380393130185
2013-05-10,0.00017392870910938387
2013-05-13,0.0005356315740290072
2013-05-14,0.0014535490877022445
2013-05-15,0.0003626018927121337
2013-05-16,-0.00170756696734241
2013-05-17,-0.0006138924609749798
2013-05-20,-0.003849855079606997
2013-05-21,0.0009400876632687564
2013-05-22,-0.0012023137930318377
2013-05-23,0.0021212451192938867
2013-05-24,0.0005626632317987817
2013-05-28,0.00042842138404302477
2013-05-29,-0.00012806149997982282
2013-05-30,0.0002480203842632811
2013-05-31,0.0002494937332730765
2013-06-03,-0.0005861682410801006
2013-06-04,-0.0035852784260026788
2013-06-05,-0.0005929067665455612
2013-06-06,0.0025913161759904676
2013-06-07,0.0016353029419526877
2013-06-10,-0.0007916042179147431
2013-06-11,0.00038132697510602774
2013-06-12,-0.002046335660921454
2013-06-13,0.00034779434293655964
2013-06-14,0.001262294581265953
2013-06-17,-0.002442511996529045
2013-06-18,0.0006928572734439209
2013-06-19,-0.0010787910781800397
2013-06-20,0.0003178879893670659
2013-06-21,0.0018525010542175665
2013-06-24,0.003262918425364878
2013-06-25,-0.00045140953215656106
2013-06-26,0.0007093929434545542
2013-06-27,-0.0030187017371999143
2013-06-28,0.0004153380865751233
2013-07-01,0.0006046345935962476
2013-07-02,0.000423644173160513
2013-07-03,0.0020255098518126525
2013-07-05,-0.0007012104281696982
2013-07-08,0.0009080918335657017
2013-07-09,-0.0027149503538708803
2013-07-10,0.0005205271588151568
2013-07-11,-0.0020532327731812776
2013-07-12,0.0019252403373030632
2013-07-15,-0.000918979901856616
2013-07-16,-0.000520232023003084
2013-07-17,0.0014708734955117067
2013-07-18,-0.0029658153718877464
2013-07-19,0.00039210417611835964
2013-07-22,0.0016451502663099506
2013-07-23,-0.0008228090872727156
2013-07-24,0.0034134085488879053
2013-07-25,0.00013979954036719613
2013-07-26,-0.0006222402104110859
2013-07-29,-0.0007676493140920544
2013-07-30,0.0021026550557947856
2013-07-31,-0.00057344427663388
2013-08-01,0.002947812176319325
2013-08-02,-0.0004840899628001886
2013-08-05,0.0016606491572563901
2013-08-06,0.0011635321069946383
2013-08-07,-0.0007257634306971922
2013-08-08,-0.0016636557977567587
2013-08-09,-0.002103203063721407
2013-08-12,-0.002195400975871771
2013-08-13,0.0013498684796350976
2013-08-14,-0.001693990932541373
2013-08-15,-0.004331601101427304
2013-08-16,0.0006440150307552769
2013-08-19,0.0016444750318267958
2013-08-20,-0.0014723718146051512
2013-08-21,0.000950475636692256
2013-08-22,-0.00033943306646432725
2013-08-23,-3.8552606233235635e-05
2013-08-26,2.5827406169497355e-06
2013-08-27,0.00034425716158363405
2013-08-28,0.001051557364471677
2013-08-29,5.320917044836679e-05
2013-08-30,-0.0004392744766953359
2013-09-03,0.002462151509299113
2013-09-04,-0.0010977266209473056
2013-09-05,-1.821007980773448e-05
2013-09-06,-0.0003881986542457455
2013-09-09,-0.00037295433821863224
2013-09-10,0.0026960048332856272
2013-09-11,0.0013428167394800414
2013-09-12,-0.0009760281729116575
2013-09-13,0.00021584573431580376
2013-09-16,-0.0010919026976217115
2013-09-17,-0.0014726189769856107
2013-09-18,-0.0035218170821526085
2013-09-19,0.0008250011878047682
2013-09-20,0.0018863800381806325
2013-09-23,-0.0017926879490781655
2013-09-24,0.0002091455841938932
2013-09-25,0.003224024070162107
2013-09-26,0.0023724546787513815
2013-09-27,0.004923077690322052
2013-09-30,-0.00025117737541739373
2013-10-01,0.0025638763103416613
2013-10-02,-0.0005589597485542337
2013-10-03,-3.505726591239477e-05
2013-10-04,0.00188008115826165
2013-10-07,-0.0015090963628522022
2013-10-08,-0.0010333926514857529
2013-10-09,-0.001462711132478901
2013-10-10,0.0035666084358323526
2013-10-11,0.00025943743521629237
2013-10-14,0.0008268935174750467
2013-10-15,0.00020638803441281237
2013-10-16,0.0016028672290657672
2013-10-17,-0.0002603187001245057
2013-10-18,-3.777375824854462e-05
2013-10-21,0.0005772698794147626
2013-10-22,0.0014070882275084263
2013-10-23,-0.0020625324724075395
2013-10-24,-0.0018999290803256913
2013-10-25,-0.0015881003241244708
2013-10-28,-0.0010124098504940005
2013-10-29,-3.779014004105984e-05
2013-10-30,-0.0009411910730737452
2013-10-31,-0.001079039245806478
2013-11-01,-0.002021816251895626
2013-11-04,-0.003201343499421499
2013-11-05,0.0017385729395677898
2013-11-06,0.0008334580517554684
2013-11-07,0.0009591927144127042
2013-11-08,-0.0025104189303217436
2013-11-11,0.001012590082799677
2013-11-12,0.0024268022842832233
2013-11-13,-0.0014143167098074395
2013-11-14,0.0006450660610970836
2013-11-15,-0.00036836657239949533
2013-11-18,0.0008966737025913994
2013-11-19,-0.00039021613777138814
2013-11-20,-0.0011037322766976315
2013-11-21,0.0024914398321142
2013-11-22,-0.0006998207294841732
2013-11-25,-0.0013546688292982811
2013-11-26,0.00117788896198963
2013-11-27,-0.00010310084717252267
2013-11-29,-7.350041157771803e-05
2013-12-02,0.001132259083418938
2013-12-03,0.0018785861963653472
2013-12-04,-0.001421121487134358
2013-12-05,-0.0001911455835000333
2013-12-06,0.0009310031559604868
2013-12-09,0.00022235164612606406
2013-12-10,0.0011779369707107742
2013-12-11,0.0001291612371664986
2013-12-12,-0.0013418581844439144
2013-12-13,-0.0009039760880548605
2013-12-16,-0.0003420588725505889
2013-12-17,5.6525224380879565e-08
2013-12-18,0.00033189204223935034
2013-12-19,0.0011135838217409067
2013-12-20,-0.0006675638965344037
2013-12-23,-0.002933125821412613
2013-12-24,0.0008508260178640372
2013-12-26,-0.0003986824890986057
2013-12-27,-0.0021637736888164
2013-12-30,0.00011673997311264437
2013-12-31,0.0006912804028945488
2014-01-02,-0.0004921232894990144
2014-01-03,5.367240497528014e-05
2014-01-06,-0.0013894185920302988
2014-01-07,-0.0011748532653935776
2014-01-08,0.00026164861104026045
2014-01-09,0.0008613179309871984
2014-01-10,-0.002947528895804164
2014-01-13,0.0003541861796254251
2014-01-14,-0.0014125602508045607
2014-01-15,-0.00012442894419232016
2014-01-16,0.0005749710609476673
2014-01-17,0.000747137992926915
2014-01-21,0.0025245275055074227
2014-01-22,0.003840727220634101
2014-01-23,-0.0019286430606021488
2014-01-24,0.0005995115728116085
2014-01-27,-0.0012867027346582219
2014-01-28,-0.0026250733540301766
2014-01-29,0.0016488378114377367
2014-01-30,0.0004509251187213427
2014-01-31,-0.0001276381775928485
2014-02-03,0.0002088059928461933
2014-02-04,0.00015819366773830586
2014-02-05,0.0031501096966744294
2014-02-06,0.004654013503655108
2014-02-07,-0.009840613448277103
2014-02-10,-0.0006552489388267611
2014-02-11,-0.0013371519766073973
2014-02-12,-0.00031911540614467857
2014-02-13,-0.003590904465747035
2014-02-14,0.0007919825839903749
2014-02-18,-0.0037974894934133955
2014-02-19,-0.0006984210273411074
2014-02-20,-0.001062960330074118
2014-02-21,0.0006655559402176386
2014-02-24,-0.004037411546995572
2014-02-25,0.0028838629575055124
2014-02-26,-0.003259347345174202
2014-02-27,0.0014786938334988438
2014-02-28,0.0010327466057073803
2014-03-03,-0.001603230352082677
2014-03-04,0.00313184114600529
2014-03-05,0.0005511948835315829
2014-03-06,0.0020919551838070836
2014-03-07,-0.0005106993486065347
2014-03-10,-0.0012432209842514635
2014-03-11,-0.0018837038275308939
2014-03-12,8.219018964831296e-05
2014-03-13,-0.0011700559629224958
2014-03-14,0.0006219041804099546
2014-03-17,0.0021199836460080237
2014-03-18,0.0003872048727555366
2014-03-19,-0.00014118778343233764
2014-03-20,0.0019492218428277352
2014-03-21,0.0033480849754245093
2014-03-24,0.0022555631245485303
2014-03-25,-0.0016936270339865502
2014-03-26,-0.00028734253783844295
2014-03-27,-0.0015920605309682437
2014-03-28,-0.0019779850996778604
2014-03-31,8.443567080348528e-05
2014-04-01,0.002673520544377751
2014-04-02,-0.00011152353280490084
2014-04-03,-0.00023146456854109532
2014-04-04,-0.0016733896345250733
2014-04-07,-0.0012752313426722315
2014-04-08,-0.0009785301706448566
2014-04-09,0.0006853152067465767
2014-04-10,0.001261854354264991
2014-04-11,0.00020402634685394872
2014-04-14,-0.0031258725827245713
2014-04-15,0.001287050338378476
2014-04-16,0.0021610801063376584
2014-04-17,0.000309780277555762
2014-04-21,-0.0017503037335453485
2014-04-22,-0.0018930442491643738
2014-04-23,0.0008808126523529911
2014-04-24,-0.002214113533801017
2014-04-25,-0.0007167872248030565
2014-04-28,-0.0005733848553211218
2014-04-29,0.0012761122757533995
2014-04-30,-4.341664987032435e-05
2014-05-01,-0.0012447374663037674
2014-05-02,0.000573406926600936
2014-05-05,-0.00026609949561172256
2014-05-06,0.0006129063415573308
2014-05-07,0.0011137775560688763
2014-05-08,-0.0010080929808163836
2014-05-09,-0.0012885668001958227
2014-05-12,0.0001013701230366466
2014-05-13,0.0005617336845436065
2014-05-14,-9.49853109801373e-05
2014-05-15,-0.0021448913210048728
2014-05-16,-0.0009467355446533388
2014-05-19,0.0009693239214524618
2014-05-20,0.0006396773060331948
2014-05-21,-0.0021626133569432504
2014-05-22,0.0019523592914493146
2014-05-23,0.00024083690302833987
2014-05-27,-0.0016011486625724996
2014-05-28,-0.0006876871387482111
2014-05-29,-0.0010594904737975838
2014-05-30,-0.00023934048064355373
2014-06-02,0.0008664852430361741
2014-06-03,0.00013236406248688513
2014-06-04,-0.0009992706714126844
2014-06-05,0.000762561393562439
2014-06-06,-0.00012305368833078755
2014-06-09,-0.003369252150704933
2014-06-10,0.000222160038619972
2014-06-11,-0.0006907990323056318
2014-06-12,5.455656523792087e-05
2014-06-13,-0.00194864194331613
2014-06-16,-0.0004236602870835241
2014-06-17,0.0006229391722936186
2014-06-18,9.425244686133208e-05
2014-06-19,0.0016162829206183785
2014-06-20,0.0011703111717760461
2014-06-23,0.0013441394985206113
2014-06-24,-0.0009982099767518505
2014-06-25,0.0002875551836115005
2014-06-26,-0.0007251549765282863
2014-06-27,0.00035810787949543815
2014-06-30,0.0013410898385865272
2014-07-01,0.00016655456973956837
2014-07-02,-0.00048212844479413524
2014-07-03,2.677544842334117e-05
2014-07-07,0.0004165599031146394
2014-07-08,0.0014440453621987063
2014-07-09,0.0006747025269496919
2014-07-10,-2.2005016209639933e-05
2014-07-11,-0.0004191886669347761
2014-07-14,0.0007302531374763067
2014-07-15,0.0018759909492891437
2014-07-16,-5.022496938092943e-05
2014-07-17,-0.0005849930595128542
2014-07-18,0.0015807023126852189
2014-07-21,-0.0007053695294252434
2014-07-22,-0.0010974659700464004
2014-07-23,-0.002303116252613194
2014-07-24,-0.0008278274303186274
2014-07-25,0.00117748606957526
2014-07-28,-0.0032303220273979276
2014-07-29,-0.0008176467856605011
2014-07-30,0.0016194424307235146
2014-07-31,-0.003832543769339448
2014-08-01,-0.00011682260620500849
2014-08-04,0.0005651288353104412
2014-08-05,-0.000721378977808967
2014-08-06,0.0027921708011501615
2014-08-07,-0.0010346028582792226
2014-08-08,0.0014177255318020005
2014-08-11,0.00019555692548630667
2014-08-12,0.0009241320578338425
2014-08-13,0.002320973772867069
2014-08-14,0.001399161516817565
2014-08-15,0.004493005236501258
2014-08-18,-0.00012111723806195127
2014-08-19,-0.0005793720640582164
2014-08-20,-0.0007702038946988098
2014-08-21,0.0005402455290493165
2014-08-22,-0.0001779107279647617
2014-08-25,-0.00036233612531137716
2014-08-26,-0.0007585125223524754
2014-08-27,-0.00044273436323979753
2014-08-28,0.0010875594204875255
2014-08-29,5.6508442315831295e-05
2014-09-02,0.0017153582360526253
2014-09-03,-0.00011537869125898048
2014-09-04,-0.0003820872594934912
2014-09-05,-0.0005911803899263278
2014-09-08,0.000957549768937377
2014-09-09,-8.529446003485486e-05
2014-09-10,0.0022557909829470347
2014-09-11,-0.00192292329891543
2014-09-12,0.0019819499217324345
2014-09-15,-0.0008633179865130568
2014-09-16,-0.0006454386682630945
2014-09-17,0.0016706958825861774
2014-09-18,0.0003852640846531402
2014-09-19,0.00028546612539388414
2014-09-22,0.0043070573803181125
2014-09-23,0.0005945352481555351
2014-09-24,0.0024562954300588486
2014-09-25,-0.0004544215367796486
2014-09-26,0.00016604790168984785
2014-09-29,0.0018535698639247959
2014-09-30,0.0025593194394423796
2014-10-01,-0.0012443622397665067
2014-10-02,-0.0015277137747716854
2014-10-03,0.0033683786433371964
2014-10-06,-0.0009633002523777197
2014-10-07,0.0009358668420670243
2014-10-08,0.0006426131295008813
2014-10-09,0.0008892389913128246
2014-10-10,-0.001114795994503058
2014-10-13,-0.0012560603939005283
2014-10-14,-0.0005768545055695936
2014-10-15,4.040961053807431e-05
2014-10-16,0.0010323254726920372
2014-10-17,0.004367995311564753
2014-10-20,-0.0010893172766845902
2014-10-21,-0.0004795116984883677
2014-10-22,0.0033589255722558274
2014-10-23,-0.0017970852566994936
2014-10-24,0.002102198533001136
2014-10-27,0.003969817285693381
2014-10-28,-0.0017079395830281192
2014-10-29,-4.188583507388232e-05
2014-10-30,-0.00013969403972283363
2014-10-31,-3.900842989145783e-05
2014-11-03,0.0012607502306968173
2014-11-04,0.0005342029523577718
2014-11-05,-0.002557436460487566
2014-11-06,-0.002044639982973774
2014-11-07,-0.000985947314119647
2014-11-10,6.748471803947028e-05
2014-11-11,0.0007386302204256377
2014-11-12,0.0005735961832593651
2014-11-13,-0.0007244936835726088
2014-11-14,-0.0004463798295747401
2014-11-17,-0.0008963614674929952
2014-11-18,-0.0018500410089012781
2014-11-19,0.0010621016252451933
2014-11-20,-0.00011359116890076474
2014-11-21,-0.0020103609068070757
2014-11-24,0.001213941499665128
2014-11-25,0.0014003623383315009
2014-11-26,0.003036575303231568
2014-11-28,0.00599072748868749
2014-12-01,0.0007978173650243568
2014-12-02,0.0034517593342274777
2014-12-03,0.0020893779711015277
2014-12-04,0.00019283955327598198
2014-12-05,-4.096064638932228e-05
2014-12-08,0.0021720564983110464
2014-12-09,0.00025316050430855655
2014-12-10,0.0009745835928153807
2014-12-11,-0.0005741127310555415
2014-12-12,0.001466730972252722
2014-12-15,0.00022530912091265365
2014-12-16,-0.0024753503825842202
2014-12-17,-0.0020992548899915315
2014-12-18,-0.0010328070747770632
2014-12-19,-0.001048828998656571
2014-12-22,0.0014957860563865034
2014-12-23,-0.0020273089857979296
2014-12-24,0.001904768181679991
2014-12-26,-0.0008306588629179168
2014-12-29,0.0004680379667487466
2014-12-30,-0.0011970046262998967
2014-12-31,-0.0003967300000270984
2015-01-02,-0.0007638245911185559
2015-01-05,0.003298885635820354
2015-01-06,8.467950546853911e-06
2015-01-07,0.00011443921171811324
2015-01-08,-6.0229097382829816e-05
2015-01-09,-1.2079014635799518e-05
2015-01-12,0.0003239618250306661
2015-01-13,0.001608175946444853
2015-01-14,0.002602810452795404
2015-01-15,0.0010074546010438248
2015-01-16,-0.00032729039966533765
2015-01-20,0.0013949954806002356
2015-01-21,-0.0022164491734890323
2015-01-22,-0.0008332033720282783
2015-01-23,0.00524748736471717
2015-01-26,3.316522777101597e-05
2015-01-27,0.0018874077081338174
2015-01-28,0.007905813821649366
2015-01-29,-0.002451814582280931
2015-01-30,-0.0007068549122730778
2015-02-02,-0.006044095606719642
2015-02-03,-0.005156439828544019
2015-02-04,0.0025197403883836325
2015-02-05,-0.0021699613514900374
2015-02-06,-0.005294706631697847
2015-02-09,-0.0029849362899407755
2015-02-10,0.003571044624646649
2015-02-11,0.0023029428718881946
2015-02-12,0.0004906582602551161
2015-02-13,0.0005574647603408436
2015-02-17,-0.0020034289152801093
2015-02-18,0.001410435035238744
2015-02-19,-0.0006926977064381118
2015-02-20,0.0006800036396598907
2015-02-23,0.001374705645777452
2015-02-24,-0.0022337714025617308
2015-02-25,-0.000705666746149997
2015-02-26,0.0013868969414739284
2015-02-27,-0.0029404994862289985
2015-03-02,0.0015658318577926444
2015-03-03,-0.0007830875201476109
2015-03-04,0.000603926264321839
2015-03-05,0.0028488266130721153
2015-03-06,0.0006315610053597663
2015-03-09,0.0029817048798363487
2015-03-10,0.002571671227467128
2015-03-11,-0.0014097945168995221
2015-03-12,0.0015645433169346745
2015-03-13,0.003457495616938925
2015-03-16,0.0036680811591731735
2015-03-17,0.0012512908353089155
2015-03-18,-0.0014452366033876486
2015-03-19,0.003806258036239484
2015-03-20,-0.0017641919802115354
2015-03-23,-0.005177997935264914
2015-03-24,0.0007839642935114024
2015-03-25,-0.004550651081488473
2015-03-26,0.0016940289247001112
2015-03-27,0.003656755808261476
2015-03-30,-0.0017786614037027723
2015-03-31,-0.0009596072614259354
2015-04-01,-0.003923660399719636
2015-04-02,-0.0017700066455985184
2015-04-06,-0.004140343140219154
2015-04-07,-0.0006276937688030163
2015-04-08,0.002321112849482355
2015-04-09,-0.0036884919702678855
2015-04-10,0.003057568009386812
2015-04-13,-0.001312982833149266
2015-04-14,-0.004323369868350076
2015-04-15,-0.005053015081189316
2015-04-16,0.0010724120884725466
2015-04-17,-0.0016912429556678904
2015-04-20,0.0019227846026031595
2015-04-21,0.0013735059937393767
2015-04-22,-0.0031180445781822143
2015-04-23,-0.0002473905694845549
2015-04-24,-8.107582319672657e-05
2015-04-27,-0.00129437611855067
2015-04-28,-0.003435361859910992
2015-04-29,-0.0029124542488882356
2015-04-30,-0.007042230037815235
2015-05-01,0.004397642431369058
2015-05-04,0.0012417816451144937
2015-05-05,-0.001035004364858582
2015-05-06,0.0010558282551869364
2015-05-07,0.005894945112740327
2015-05-08,-0.0010077580071513332
2015-05-11,0.0022302731598348286
2015-05-12,0.00020159296775139408
2015-05-13,0.000248919672337279
2015-05-14,0.002820916869542685
2015-05-15,-2.6333150222881127e-06
2015-05-18,0.001112920155017824
2015-05-19,0.004372363708722609
2015-05-20,-0.0019074975112648449
2015-05-21,-0.0036935957768973672
2015-05-22,0.00013225558781308368
2015-05-26,0.004582697654438854
2015-05-27,0.001762465073653121
2015-05-28,0.001650297435167064
2015-05-29,-0.0006250358504955975
2015-06-01,0.00202400701739159
2015-06-02,-0.0022192234328843323
2015-06-03,0.0005217739335152492
2015-06-04,0.0012201633658606762
2015-06-05,-0.0014325254687116381
2015-06-08,7.022194815270326e-05
2015-06-09,-0.0004949190013315043
2015-06-10,0.0005641732387604651
2015-06-11,0.003781746966014943
2015-06-12,0.00014359704263834186
2015-06-15,0.00047975781352811606
2015-06-16,-0.0014323958612344342
2015-06-17,0.0011581410817650241
2015-06-18,0.004372453172827431
2015-06-19,0.0005607887174149945
2015-06-22,-0.0005306353150462065
2015-06-23,-0.001155383786684719
2015-06-24,7.125154849886247e-05
2015-06-25,0.002817278734293309
2015-06-26,8.375884135282426e-05
2015-06-29,6.810929634402382e-06
2015-06-30,0.00047595654431279317
2015-07-01,0.005122429988402572
2015-07-02,-0.00022077078899355922
2015-07-06,0.003802165737182545
2015-07-07,-0.0010147015881452792
2015-07-08,0.0017564757256664668
2015-07-09,-0.0014364547102744965
2015-07-10,0.003135742420666214
2015-07-13,0.0005621005138411309
2015-07-14,-0.002297800950141853
2015-07-15,0.005577535591151305
2015-07-16,0.002095806953633669
2015-07-17,0.001389124720450446
2015-07-20,0.004149590686716361
2015-07-21,0.0008393316971237451
2015-07-22,0.0044903494282762585
2015-07-23,-0.001097979301002308
2015-07-24,0.0047827949264595115
2015-07-27,0.002036678088087189
2015-07-28,-0.004988101676204265
2015-07-29,-0.001706370959025147
2015-07-30,-0.0009835638426815218
2015-07-31,0.003554038188466459
2015-08-03,0.0032345291034513324
2015-08-04,0.002142004600826114
2015-08-05,0.0019375480133222434
2015-08-06,-0.004825032656807161
2015-08-07,0.0022935897657520555
2015-08-10,-0.0015334515686622606
2015-08-11,0.00011618179816686246
2015-08-12,-0.003000307326510375
2015-08-13,0.0051833625697362
2015-08-14,0.0007584544750171347
2015-08-17,0.001796081343992694
2015-08-18,-2.751298072001709e-05
2015-08-19,0.0016719718101943018
2015-08-20,-0.0021575563835043977
2015-08-21,-0.0065869062704770375
2015-08-24,-8.596176300060325e-05
2015-08-25,0.002707961137254313
2015-08-26,0.003338727791016694
2015-08-27,-0.0031673012954017803
2015-08-28,-0.004918733734037953
2015-08-31,-0.002614923703875088
2015-09-01,-0.0008976893905911224
2015-09-02,0.0037933389254770577
2015-09-03,-0.0005905924442369581
2015-09-04,-0.00030767497346531305
2015-09-08,0.0019261930865641563
2015-09-09,0.0019011855675965493
2015-09-10,-0.00012080816585684341
2015-09-11,0.0021851950740678443
2015-09-14,-0.0014723239569519248
2015-09-15,0.0001712533813554633
2015-09-16,-0.0046814769423085744
2015-09-17,0.0005346847927790993
2015-09-18,-0.0004186178060674868
2015-09-21,0.0010820384990401373
2015-09-22,-0.0005680910984704672
2015-09-23,0.003518884187097044
2015-09-24,-0.0027337437443779554
2015-09-25,0.0015034749853440957
2015-09-28,-0.00041217698830995286
2015-09-29,0.0001289289431802087
2015-09-30,0.0016046246048417347
2015-10-01,0.004681661876240182
2015-10-02,-0.005512977723792186
2015-10-05,-0.0040990399921206335
2015-10-06,-0.006864006359497599
2015-10-07,0.0010746130366892127
2015-10-08,-0.0019087485097964009
2015-10-09,0.0006561516651526264
2015-10-12,0.004209626463078382
2015-10-13,-0.001317630874758997
2015-10-14,-0.00289464048526732
